ID,condition,hour,replicate,index_marcogen
151,exp1_CL-CTH,17,3,179
152,exp1_CL-CTH,17,4,180
153,exp1_CL-CTH,19_2,1,181
154,exp1_CL-CTH,19_2,2,182
155,exp1_CL-CTH,19_2,3,183
156,exp1_CL-CTH,19_2,4,184
157,exp1_FL-CTH,19,1,1
158,exp1_FL-CTH,19,2,2
159,exp1_FL-CTH,19,3,3
160,exp1_FL-CTH,19,4,4
161,exp1_FL-CTH,21,1,5
162,exp1_FL-CTH,21,2,6
163,exp1_FL-CTH,21,3,7
164,exp1_FL-CTH,21,4,8
165,exp1_FL-CTH,23,1,9
166,exp1_FL-CTH,23,2,10
167,exp1_FL-CTH,23,3,11
168,exp1_FL-CTH,23,4,12
169,exp1_FL-CTH,1,1,13
170,exp1_FL-CTH,1,2,14
171,exp1_FL-CTH,1,3,15
172,exp1_FL-CTH,1,4,16
173,exp1_FL-CTH,3,1,17
174,exp1_FL-CTH,3,2,18
175,exp1_FL-CTH,3,3,19
176,exp1_FL-CTH,3,4,20
177,exp1_FL-CTH,5,1,21
178,exp1_FL-CTH,5,2,22
179,exp1_FL-CTH,5,3,23
180,exp1_FL-CTH,5,4,24
181,exp1_FL-CTH,7,1,25
182,exp1_FL-CTH,7,2,26
183,exp1_FL-CTH,7,3,27
184,exp1_FL-CTH,7,4,28
185,exp1_FL-CTH,9,1,29
186,exp1_FL-CTH,9,2,30
187,exp1_FL-CTH,9,3,31
188,exp1_FL-CTH,9,4,32
189,exp1_FL-CTH,11,1,33
190,exp1_FL-CTH,11,2,34
191,exp1_FL-CTH,11,3,35
192,exp1_FL-CTH,11,4,36
193,exp1_FL-CTH,13,1,37
194,exp1_FL-CTH,13,2,38
195,exp1_FL-CTH,13,3,39
196,exp1_FL-CTH,13,4,40
197,exp1_FL-CTH,15,1,41
198,exp1_FL-CTH,15,2,42
199,exp1_FL-CTH,15,3,43
200,exp1_FL-CTH,15,4,44
201,exp1_FL-CTH,17,1,45
202,exp1_FL-CTH,17,2,46
203,exp1_FL-CTH,17,3,47
204,exp1_FL-CTH,17,4,48
205,exp1_FL-CTH,19_2,1,49
206,exp1_FL-CTH,19_2,2,100
207,exp1_FL-CTH,19_2,3,51
208,exp1_FL-CTH,19_2,4,52
209,exp1_CL-FTH,19,1,101
210,exp1_CL-FTH,19,2,102
211,exp1_CL-FTH,19,3,103
212,exp1_CL-FTH,19,4,104
213,exp1_CL-FTH,21,1,105
214,exp1_CL-FTH,21,2,106
215,exp1_CL-FTH,21,3,107
216,exp1_CL-FTH,21,4,108
217,exp1_CL-FTH,23,1,109
218,exp1_CL-FTH,23,2,110
219,exp1_CL-FTH,23,3,111
220,exp1_CL-FTH,23,4,112
221,exp1_CL-FTH,1,1,113
222,exp1_CL-FTH,1,2,114
223,exp1_CL-FTH,1,3,115
224,exp1_CL-FTH,1,4,116
225,exp1_CL-FTH,3,1,117
226,exp1_CL-FTH,3,2,118
227,exp1_CL-FTH,3,3,119
228,exp1_CL-FTH,3,4,120
229,exp1_CL-FTH,5,1,121
230,exp1_CL-FTH,5,2,122
231,exp1_CL-FTH,5,3,123
232,exp1_CL-FTH,5,4,124
233,exp1_CL-FTH,7,1,125
234,exp1_CL-FTH,7,2,126
235,exp1_CL-FTH,7,3,127
236,exp1_CL-FTH,7,4,128
237,exp1_CL-FTH,9,1,129
238,exp1_CL-FTH,9,2,130
239,exp1_CL-FTH,9,3,131
240,exp1_CL-FTH,9,4,132
241,exp1_CL-FTH,11,1,133
242,exp1_CL-FTH,11,2,134
243,exp1_CL-FTH,11,3,135
244,exp1_CL-FTH,11,4,136
245,exp1_CL-FTH,13,1,137
246,exp1_CL-FTH,13,2,138
247,exp1_CL-FTH,13,3,139
248,exp1_CL-FTH,13,4,140
249,exp1_CL-FTH,15,1,141
250,exp1_CL-FTH,15,2,142
251,exp1_CL-FTH,15,3,143
252,exp1_CL-FTH,15,4,144
253,exp1_CL-FTH,17,1,145
254,exp1_CL-FTH,17,2,146
255,exp1_CL-FTH,17,3,147
256,exp1_CL-FTH,17,4,148
257,exp1_CL-FTH,19_2,1,149
258,exp1_CL-FTH,19_2,2,150
259,exp1_CL-FTH,19_2,3,151
