name	condition	hour	replicate
hashida1-160	FL/CTH	19	4
hashida1-161	FL/CTH	21	1
hashida1-162	FL/CTH	21	2
hashida1-163	FL/CTH	21	3
hashida1-164	FL/CTH	21	4
hashida1-165	FL/CTH	23	1
hashida1-166	FL/CTH	23	2
hashida1-167	FL/CTH	23	3
hashida1-168	FL/CTH	23	4
hashida1-169	FL/CTH	1	1
hashida1-170	FL/CTH	1	2
hashida1-171	FL/CTH	1	3
hashida1-172	FL/CTH	1	4
hashida1-173	FL/CTH	3	1
hashida1-174	FL/CTH	3	2
hashida1-175	FL/CTH	3	3
hashida1-176	FL/CTH	3	4
hashida1-177	FL/CTH	5	1
hashida1-178	FL/CTH	5	2
hashida1-179	FL/CTH	5	3
hashida1-180	FL/CTH	5	4
hashida1-181	FL/CTH	7	1
hashida1-182	FL/CTH	7	2
hashida1-183	FL/CTH	7	3
hashida1-184	FL/CTH	7	4
hashida1-185	FL/CTH	9	1
hashida1-186	FL/CTH	9	2
hashida1-187	FL/CTH	9	3
hashida1-188	FL/CTH	9	4
hashida1-189	FL/CTH	11	1
hashida1-190	FL/CTH	11	2
hashida1-191	FL/CTH	11	3
hashida1-192	FL/CTH	11	4
hashida1-193	FL/CTH	13	1
hashida1-194	FL/CTH	13	2
hashida1-195	FL/CTH	13	3
hashida1-196	FL/CTH	13	4
hashida1-197	FL/CTH	15	1
hashida1-198	FL/CTH	15	2
hashida1-199	FL/CTH	15	3
hashida1-200	FL/CTH	15	4
hashida1-201	FL/CTH	17	1
hashida1-202	FL/CTH	17	2
hashida1-203	FL/CTH	17	3
hashida1-204	FL/CTH	17	4
hashida1-205	FL/CTH	19_2	1
hashida1-206	FL/CTH	19_2	2
hashida1-207	FL/CTH	19_2	3
hashida1-208	FL/CTH	19_2	4
hashida1-209	CL/FTH	19	1
hashida1-210	CL/FTH	19	2
hashida1-211	CL/FTH	19	3
hashida1-212	CL/FTH	19	4
hashida1-213	CL/FTH	21	1
hashida1-214	CL/FTH	21	2
hashida1-215	CL/FTH	21	3
hashida1-216	CL/FTH	21	4
hashida1-217	CL/FTH	23	1
hashida1-218	CL/FTH	23	2
hashida1-219	CL/FTH	23	3
hashida1-220	CL/FTH	23	4
hashida1-221	CL/FTH	1	1
hashida1-222	CL/FTH	1	2
hashida1-223	CL/FTH	1	3
hashida1-224	CL/FTH	1	4
hashida1-225	CL/FTH	3	1
hashida1-226	CL/FTH	3	2
hashida1-227	CL/FTH	3	3
hashida1-228	CL/FTH	3	4
hashida1-229	CL/FTH	5	1
hashida1-230	CL/FTH	5	2
hashida1-231	CL/FTH	5	3
hashida1-232	CL/FTH	5	4
hashida1-233	CL/FTH	7	1
hashida1-234	CL/FTH	7	2
hashida1-235	CL/FTH	7	3
hashida1-236	CL/FTH	7	4
hashida1-237	CL/FTH	9	1
hashida1-238	CL/FTH	9	2
hashida1-239	CL/FTH	9	3
hashida1-240	CL/FTH	9	4
hashida1-241	CL/FTH	11	1
hashida1-242	CL/FTH	11	2
hashida1-243	CL/FTH	11	3
hashida1-244	CL/FTH	11	4
hashida1-245	CL/FTH	13	1
hashida1-246	CL/FTH	13	2
hashida1-247	CL/FTH	13	3
hashida1-248	CL/FTH	13	4
