"","day","hour","min","temp_log","temp_set","hum_log","hum_set"
"136",1,21,15,19,19.1,83,80
"137",1,21,16,19,19.1,78,80
"138",1,21,17,19,19.1,83,80
"139",1,21,18,19,19.1,78,80
"140",1,21,19,19.1,19.1,82,80
"141",1,21,20,19.1,19.1,78,80
"142",1,21,21,19,19.1,83,80
"143",1,21,22,19,19,77,80
"144",1,21,23,18.9,19,84,80
"145",1,21,24,18.8,18.9,78,80
"146",1,21,25,18.9,18.9,84,80
"147",1,21,26,18.7,18.9,79,80
"148",1,21,27,18.9,18.9,85,80
"149",1,21,28,18.7,18.8,80,80
"150",1,21,29,18.9,18.8,85,80
"151",1,21,30,18.6,18.8,81,80
"152",1,21,31,18.9,18.8,84,80
"153",1,21,32,18.6,18.8,82,80
"154",1,21,33,18.9,18.8,83,80
"155",1,21,34,18.6,18.7,82,80
"156",1,21,35,18.7,18.7,80,80
"157",1,21,36,18.5,18.6,83,80
"158",1,21,37,18.6,18.6,80,80
"159",1,21,38,18.4,18.5,83,80
"160",1,21,39,18.5,18.5,78,80
"161",1,21,40,18.4,18.5,77,80
"162",1,21,41,18.7,18.6,82,80
"163",1,21,42,18.4,18.6,82,80
"164",1,21,43,18.6,18.6,81,80
"165",1,21,44,18.5,18.6,83,80
"166",1,21,45,18.7,18.7,79,80
"167",1,21,46,18.5,18.7,83,80
"168",1,21,47,18.7,18.8,78,80
"169",1,21,48,18.6,18.7,83,80
"170",1,21,49,18.6,18.7,78,80
"171",1,21,50,18.6,18.7,84,80
"172",1,21,51,18.5,18.7,77,80
"173",1,21,52,18.7,18.7,84,80
"174",1,21,53,18.6,18.7,78,80
"175",1,21,54,18.7,18.8,84,80
"176",1,21,55,18.5,18.8,80,80
"177",1,21,56,18.8,18.7,85,80
"178",1,21,57,18.5,18.7,81,80
"179",1,21,58,18.8,18.7,85,80
"180",1,21,59,18.5,18.7,81,80
"181",1,22,0,18.8,18.7,84,80
"182",1,22,1,18.4,18.6,82,80
"183",1,22,2,18.7,18.6,82,80
"184",1,22,3,18.4,18.6,82,80
"185",1,22,4,18.7,18.6,81,80
"186",1,22,5,18.5,18.6,83,80
"187",1,22,6,18.6,18.6,79,80
"188",1,22,7,18.5,18.6,77,80
"189",1,22,8,18.7,18.6,85,80
"190",1,22,9,18.5,18.6,79,80
"191",1,22,10,18.7,18.5,85,80
"192",1,22,11,18.5,18.5,78,80
"193",1,22,12,18.6,18.5,84,80
"194",1,22,13,18.5,18.5,78,80
"195",1,22,14,18.4,18.4,83,80
"196",1,22,15,18.4,18.4,78,80
"197",1,22,16,18.5,18.5,82,80
"198",1,22,17,18.6,18.5,80,80
"199",1,22,18,18.4,18.5,80,80
"200",1,22,19,18.6,18.4,83,80
"201",1,22,20,18.3,18.4,82,80
"202",1,22,21,18.5,18.4,82,80
"203",1,22,22,18.3,18.4,80,80
"204",1,22,23,18.6,18.4,84,80
"205",1,22,24,18.3,18.4,79,80
"206",1,22,25,18.5,18.3,85,80
"207",1,22,26,18.3,18.3,78,80
"208",1,22,27,18.4,18.3,84,80
"209",1,22,28,18.2,18.3,78,80
"210",1,22,29,18.3,18.3,85,80
"211",1,22,30,18.1,18.3,80,80
"212",1,22,31,18.4,18.4,85,80
"213",1,22,32,18.2,18.4,81,80
"214",1,22,33,18.5,18.4,84,80
"215",1,22,34,18.4,18.4,80,80
"216",1,22,35,18.5,18.4,84,80
"217",1,22,36,18.4,18.3,78,80
"218",1,22,37,18.4,18.3,83,80
"219",1,22,38,18.4,18.3,78,80
"220",1,22,39,18.3,18.4,82,80
"221",1,22,40,18.5,18.4,79,80
"222",1,22,41,18.3,18.4,83,80
"223",1,22,42,18.4,18.3,78,80
"224",1,22,43,18.2,18.3,84,80
"225",1,22,44,18.2,18.3,77,80
"226",1,22,45,18.3,18.3,84,80
"227",1,22,46,18.2,18.4,78,80
"228",1,22,47,18.4,18.5,83,80
"229",1,22,48,18.5,18.6,78,80
"230",1,22,49,18.5,18.6,81,80
"231",1,22,50,18.7,18.4,81,80
"232",1,22,51,18.4,18.3,82,80
"233",1,22,52,18.5,18.2,79,80
"234",1,22,53,18.2,18.2,82,80
"235",1,22,54,18.3,18.2,79,80
"236",1,22,55,18.1,18.2,81,80
"237",1,22,56,18.4,18.2,82,80
"238",1,22,57,18.2,18.3,80,80
"239",1,22,58,18.4,18.3,85,80
"240",1,22,59,18.2,18.3,79,80
"241",1,23,0,18.4,18.3,84,80
"242",1,23,1,18.4,18.3,85,80
"243",1,23,2,18.5,18.3,85,80
"244",1,23,3,18.2,18.3,79,80
"245",1,23,4,18.4,18.3,84,80
"246",1,23,5,18.2,18.2,78,80
"247",1,23,6,18.3,18.2,83,80
"248",1,23,7,18.1,18.2,78,80
"249",1,23,8,18.2,18.2,83,80
"250",1,23,9,18.2,18.2,78,80
"251",1,23,10,18.1,18.2,82,80
"252",1,23,11,18.4,18.3,80,80
"253",1,23,12,18.2,18.3,81,80
"254",1,23,13,18.4,18.3,84,80
"255",1,23,14,18.2,18.3,81,80
"256",1,23,15,18.4,18.3,83,80
"257",1,23,16,18.1,18.3,82,80
"258",1,23,17,18.4,18.2,84,80
"259",1,23,18,18.1,18.3,80,80
"260",1,23,19,18.5,18.3,85,80
"261",1,23,20,18.2,18.3,78,80
"262",1,23,21,18.3,18.3,84,80
"263",1,23,22,18.2,18.3,78,80
"264",1,23,23,18.2,18.3,83,80
"265",1,23,24,18.3,18.2,79,80
"266",1,23,25,18.1,18.1,83,80
"267",1,23,26,18.1,18.1,78,80
"268",1,23,27,18,18,81,80
"269",1,23,28,18,18,83,80
"270",1,23,29,18,18,78,80
"271",1,23,30,18.1,18.1,83,80
"272",1,23,31,18.1,18.1,78,80
"273",1,23,32,18.1,18.1,82,80
"274",1,23,33,18.2,18.2,80,80
"275",1,23,34,18,18.2,81,80
"276",1,23,35,18.4,18.2,84,80
"277",1,23,36,18.1,18.2,79,80
"278",1,23,37,18.3,18.2,84,80
"279",1,23,38,18.1,18.2,78,80
"280",1,23,39,18.2,18.2,83,80
"281",1,23,40,18.2,18.3,78,80
"282",1,23,41,18.2,18.2,83,80
"283",1,23,42,18.1,18.2,78,80
"284",1,23,43,18.2,18.3,84,80
"285",1,23,44,18.2,18.3,78,80
"286",1,23,45,18.3,18.3,84,80
"287",1,23,46,18.2,18.3,78,80
"288",1,23,47,18.3,18.3,84,80
"289",1,23,48,18.1,18.2,80,80
"290",1,23,49,18.2,18.2,85,80
"291",1,23,50,18,18.3,79,80
"292",1,23,51,18.4,18.4,84,80
"293",1,23,52,18.3,18.5,78,80
"294",1,23,53,18.5,18.6,83,80
"295",1,23,54,18.7,18.6,78,80
"296",1,23,55,18.5,18.6,82,80
"297",1,23,56,18.7,18.7,80,80
"298",1,23,57,18.5,18.7,82,80
"299",1,23,58,18.7,18.6,80,80
"300",1,23,59,18.4,18.5,82,80
"301",2,0,0,18.4,18.5,79,80
"302",2,0,1,18.4,18.4,78,80
"303",2,0,2,18.5,18.4,85,80
"304",2,0,3,18.3,18.4,78,80
"305",2,0,4,18.4,18.4,84,80
"306",2,0,5,18.3,18.4,78,80
"307",2,0,6,18.3,18.3,83,80
"308",2,0,7,18.3,18.2,78,80
"309",2,0,8,18.1,18.2,81,80
"310",2,0,9,18.3,18.2,82,80
"311",2,0,10,18,18.1,82,80
"312",2,0,11,18.1,18.1,81,80
"313",2,0,12,17.9,18,81,80
"314",2,0,13,18.1,17.9,84,80
"315",2,0,14,17.9,17.9,79,80
"316",2,0,15,17.9,17.9,85,80
"317",2,0,16,17.8,17.9,78,80
"318",2,0,17,18,18,84,80
"319",2,0,18,17.9,18,78,80
"320",2,0,19,18,18,83,80
"321",2,0,20,18,18,78,80
"322",2,0,21,17.9,18,82,80
"323",2,0,22,18.1,18.1,80,80
"324",2,0,23,17.9,18,83,80
"325",2,0,24,18,18,78,80
"326",2,0,25,17.9,18,83,80
"327",2,0,26,18,18,78,80
"328",2,0,27,17.8,18,83,80
"329",2,0,28,17.9,18,84,80
"330",2,0,29,17.9,18,78,80
"331",2,0,30,18,17.9,83,80
"332",2,0,31,17.9,17.9,77,80
"333",2,0,32,17.9,17.9,84,80
"334",2,0,33,17.8,17.9,78,80
"335",2,0,34,17.9,17.9,83,80
"336",2,0,35,17.9,17.9,78,80
"337",2,0,36,17.8,17.9,82,80
"338",2,0,37,18,17.8,80,80
"339",2,0,38,17.8,17.7,80,80
"340",2,0,39,18,17.7,84,80
"341",2,0,40,17.6,17.8,81,80
"342",2,0,41,17.9,17.9,83,80
"343",2,0,42,17.8,18,80,80
"344",2,0,43,18.2,18.1,85,80
"345",2,0,44,18,18.1,79,80
"346",2,0,45,18.1,18.1,84,80
"347",2,0,46,18,18.2,78,80
"348",2,0,47,18.2,18.2,83,80
"349",2,0,48,18.3,18.2,79,80
"350",2,0,49,18,18.1,83,80
"351",2,0,50,18,18.1,78,80
"352",2,0,51,18,18.1,83,80
"353",2,0,52,18,18.1,78,80
"354",2,0,53,18,18.1,82,80
"355",2,0,54,18.2,18.1,79,80
"356",2,0,55,18.1,18.1,78,80
"357",2,0,56,18.2,18,84,80
"358",2,0,57,17.9,17.9,77,80
"359",2,0,58,17.6,17.8,81,80
"360",2,0,59,17.9,17.7,85,80
"361",2,1,0,17.7,17.7,79,80
"362",2,1,1,17.8,17.6,85,80
"363",2,1,2,17.6,17.6,78,80
"364",2,1,3,17.7,17.6,83,80
"365",2,1,4,17.6,17.6,78,80
"366",2,1,5,17.6,17.5,82,80
"367",2,1,6,17.6,17.5,78,80
"368",2,1,7,17.5,17.5,81,80
"369",2,1,8,17.6,17.5,82,80
"370",2,1,9,17.4,17.5,80,80
"371",2,1,10,17.6,17.5,85,80
"372",2,1,11,17.4,17.5,79,80
"373",2,1,12,17.6,17.6,84,80
"374",2,1,13,17.5,17.6,78,80
"375",2,1,14,17.6,17.6,83,80
"376",2,1,15,17.6,17.6,78,80
"377",2,1,16,17.6,17.6,82,80
"378",2,1,17,17.7,17.5,80,80
"379",2,1,18,17.4,17.5,81,80
"380",2,1,19,17.7,17.6,83,80
"381",2,1,20,17.4,17.6,80,80
"382",2,1,21,17.8,17.6,85,80
"383",2,1,22,17.8,17.6,84,80
"384",2,1,23,17.8,17.6,85,80
"385",2,1,24,17.6,17.6,78,80
"386",2,1,25,17.7,17.6,84,80
"387",2,1,26,17.5,17.6,78,80
"388",2,1,27,17.5,17.6,83,80
"389",2,1,28,17.6,17.5,78,80
"390",2,1,29,17.5,17.4,81,80
"391",2,1,30,17.7,17.4,82,80
"392",2,1,31,17.4,17.4,80,80
"393",2,1,32,17.6,17.5,85,80
"394",2,1,33,17.3,17.5,81,80
"395",2,1,34,17.6,17.6,85,80
"396",2,1,35,17.4,17.6,81,80
"397",2,1,36,17.7,17.6,84,80
"398",2,1,37,17.4,17.6,81,80
"399",2,1,38,17.7,17.6,83,80
"400",2,1,39,17.5,17.6,80,80
"401",2,1,40,17.7,17.6,85,80
"402",2,1,41,17.5,17.6,78,80
"403",2,1,42,17.6,17.6,84,80
"404",2,1,43,17.5,17.7,78,80
"405",2,1,44,17.8,17.8,83,80
"406",2,1,45,17.8,17.8,79,80
"407",2,1,46,17.7,17.9,83,80
"408",2,1,47,17.9,18,79,80
"409",2,1,48,17.8,18,83,80
"410",2,1,49,17.9,18,83,80
"411",2,1,50,17.9,18,78,80
"412",2,1,51,18,18,83,80
"413",2,1,52,17.9,18.1,78,80
"414",2,1,53,18,18,82,80
"415",2,1,54,18.1,18.1,80,80
"416",2,1,55,17.9,18.1,81,80
"417",2,1,56,18.3,18.1,84,80
"418",2,1,57,17.9,18.1,81,80
"419",2,1,58,18.2,18.1,84,80
"420",2,1,59,17.9,18.1,82,80
"421",2,2,0,18.2,18.1,83,80
"422",2,2,1,17.9,18.1,80,80
"423",2,2,2,18.2,18.1,85,80
"424",2,2,3,18,18.1,78,80
"425",2,2,4,18.2,18.2,84,80
"426",2,2,5,18.1,18.1,78,80
"427",2,2,6,18.1,18.1,82,80
"428",2,2,7,18,18.1,79,80
"429",2,2,8,17.9,18.1,83,80
"430",2,2,9,18,18.1,79,80
"431",2,2,10,17.9,18.1,83,80
"432",2,2,11,18.1,18.1,78,80
"433",2,2,12,17.9,18.1,83,80
"434",2,2,13,18,18.1,78,80
"435",2,2,14,18,18.1,83,80
"436",2,2,15,18.1,18,78,80
"437",2,2,16,18,18,77,80
"438",2,2,17,18.2,18,85,80
"439",2,2,18,17.9,17.9,79,80
"440",2,2,19,18,17.9,84,80
"441",2,2,20,17.8,17.8,78,80
"442",2,2,21,17.8,17.7,83,80
"443",2,2,22,17.8,17.6,78,80
"444",2,2,23,17.7,17.6,82,80
"445",2,2,24,17.8,17.6,80,80
"446",2,2,25,17.5,17.6,80,80
"447",2,2,26,17.8,17.6,84,80
"448",2,2,27,17.5,17.6,79,80
"449",2,2,28,17.7,17.6,84,80
"450",2,2,29,17.5,17.6,78,80
"451",2,2,30,17.6,17.5,83,80
"452",2,2,31,17.5,17.4,78,80
"453",2,2,32,17.5,17.3,82,80
"454",2,2,33,17.6,17.2,81,80
"455",2,2,34,17,17.1,78,80
"456",2,2,35,17.1,17.1,81,80
"457",2,2,36,17.3,17.1,84,80
"458",2,2,37,17.1,17.2,80,80
"459",2,2,38,17.4,17.3,85,80
"460",2,2,39,17.2,17.3,79,80
"461",2,2,40,17.3,17.3,84,80
"462",2,2,41,17.3,17.3,78,80
"463",2,2,42,17.3,17.2,83,80
"464",2,2,43,17.3,17.2,84,80
"465",2,2,44,17.2,17.1,77,80
"466",2,2,45,16.8,17,80,80
"467",2,2,46,17.2,16.9,85,80
"468",2,2,47,17,16.9,78,80
"469",2,2,48,17.1,16.9,84,80
"470",2,2,49,17,16.9,78,80
"471",2,2,50,17,16.9,82,80
"472",2,2,51,17.1,16.9,79,80
"473",2,2,52,16.9,16.9,81,80
"474",2,2,53,17.2,16.9,84,80
"475",2,2,54,16.8,16.9,80,80
"476",2,2,55,17.1,16.9,85,80
"477",2,2,56,16.9,16.8,79,80
"478",2,2,57,17,16.9,84,80
"479",2,2,58,16.9,16.9,78,80
"480",2,2,59,17,17,83,80
"481",2,3,0,17.1,17,79,80
"482",2,3,1,16.9,17,81,80
"483",2,3,2,17.2,17,82,80
"484",2,3,3,16.9,17,80,80
"485",2,3,4,17.2,17.1,85,80
"486",2,3,5,17,17.1,79,80
"487",2,3,6,17.2,17.1,84,80
"488",2,3,7,17,17.1,78,80
"489",2,3,8,17.2,17.3,83,80
"490",2,3,9,17.5,17.3,79,80
"491",2,3,10,17.3,17.4,78,80
"492",2,3,11,17.5,17.4,85,80
"493",2,3,12,17.3,17.5,78,80
"494",2,3,13,17.5,17.5,83,80
"495",2,3,14,17.5,17.5,78,80
"496",2,3,15,17.4,17.6,82,80
"497",2,3,16,17.8,17.6,81,80
"498",2,3,17,17.4,17.5,80,80
"499",2,3,18,17.6,17.5,85,80
"500",2,3,19,17.4,17.4,79,80
"501",2,3,20,17.5,17.4,84,80
"502",2,3,21,17.3,17.4,78,80
"503",2,3,22,17.4,17.4,83,80
"504",2,3,23,17.4,17.4,79,80
"505",2,3,24,17.4,17.4,81,80
"506",2,3,25,17.6,17.4,83,80
"507",2,3,26,17.2,17.4,82,80
"508",2,3,27,17.4,17.4,82,80
"509",2,3,28,17.2,17.4,80,80
"510",2,3,29,17.5,17.4,85,80
"511",2,3,30,17.3,17.3,79,80
"512",2,3,31,17.4,17.3,84,80
"513",2,3,32,17.2,17.3,78,80
"514",2,3,33,17.3,17.3,83,80
"515",2,3,34,17.3,17.3,79,80
"516",2,3,35,17.2,17.2,81,80
"517",2,3,36,17.4,17.2,83,80
"518",2,3,37,17.3,17.2,80,80
"519",2,3,38,17.3,17.2,84,80
"520",2,3,39,17.2,17.2,78,80
"521",2,3,40,17.3,17.2,82,80
"522",2,3,41,17.3,17.2,79,80
"523",2,3,42,17.2,17.2,81,80
"524",2,3,43,17.3,17.1,83,80
"525",2,3,44,17.1,17.1,79,80
"526",2,3,45,17.2,17.1,85,80
"527",2,3,46,17,17.1,78,80
"528",2,3,47,17.1,17.1,83,80
